detecteddistrict,detectedstate,population,long,lat
Papum Pare,Arunachal Pradesh,176573,93.72,27.15
Parbhani,Maharashtra,1836086,76.78333,19.26667
Paschim Bardhaman ,West Bengal,2882031,87.892319,23.40572
Paschim Medinipur,West Bengal,4776909,87.33333,22.43333
Pashchim Champaran,Bihar,3935042,84.29,27.12
Pashchimi Singhbhum,Jharkhand,1502338,85.8167,22.5667
Patan,Gujarat,1343734,72.12,23.83
Pathanamthitta,Kerala,1197412,76.78722,9.26472
Pathankot ,Punjab,676598,75.64972,32.26889
Patiala,Punjab,1895686,76.4,30.34
Patna,Bihar,5838465,85.14139,25.61
Peddapalli ,Telangana,795332,79.3832,18.6162
Perambalur,Tamil Nadu,565223,78.88333,11.23333
Peren,Nagaland,95219,93.73333,25.51667
Phek,Nagaland,163418,94.46667,25.66667
Pherzawl ,Manipur,47259,93.94169,24.80668
Pilibhit,Uttar Pradesh,2031007,79.76667,28.63333
Pithoragarh,Uttarakhand,483439,80.22,29.58
Porbandar,Gujarat,585449,69.60929,21.64219
Prakasam,Andhra Pradesh,3397448,80.05,15.5
Pratapgarh,Rajasthan,867848,74.78,24.03
Pratapgarh,Uttar Pradesh,3209141,81.9388,25.8944
Puducherry,Puducherry,950289,79.768062,11.809764
Pudukkottai,Tamil Nadu,1618345,78.81667,10.38333
Pulwama,Jammu and Kashmir,560440,74.92,33.88
Punch,Jammu and Kashmir,476835,74.1,33.76667
Pune,Maharashtra,9429408,73.856385,18.527763
Purba Bardhaman ,West Bengal,4835532,87.888599,22.793287
Purba Champaran,Bihar,5099371,84.9,26.64
Purba Medinipur,West Bengal,5095875,87.33333,22.43333
Purbi Singhbhum,Jharkhand,2293919,86.1834,22.8
Puri,Odisha,1698730,85.81667,19.8
Purnia,Bihar,3264619,87.4667,25.7833
Puruliya,West Bengal,2930115,86.36667,23.33333
Rae Bareli,Uttar Pradesh,2403705,81.2336,26.23384
Raichur,Karnataka,1928812,77.37,16.2
Raigad ,Maharashtra,2634200,72.88,18.65
Raigarh,Chhattisgarh,1493984,83.4,21.9
Raipur,Chhattisgarh,2160876,81.63368,21.23795
